Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
94029,2014,1,1,10.6,1,N
94029,2014,1,2,12.2,1,N
94029,2014,1,3,8.7,1,N
94029,2014,1,4,9.1,1,N
94029,2014,1,5,11.3,1,N
94029,2014,1,6,8.6,1,N
94029,2014,1,7,9.2,1,N
94029,2014,1,8,9,1,N
94029,2014,1,9,9.1,1,N
94029,2014,1,10,11.8,1,N
94029,2014,1,11,15.6,1,N
94029,2014,1,12,14.7,1,N
94029,2014,1,13,13.6,1,N
94029,2014,1,14,13.7,1,N
94029,2014,1,15,18.3,1,N
94029,2014,1,16,14.4,1,N
94029,2014,1,17,15.9,1,N
94029,2014,1,18,17.2,1,N
94029,2014,1,19,12.9,1,N
94029,2014,1,20,11.9,1,N
94029,2014,1,21,11.3,1,N
94029,2014,1,22,9.1,1,N
94029,2014,1,23,10.8,1,N
94029,2014,1,24,14.9,1,N
94029,2014,1,25,9.2,1,N
94029,2014,1,26,10.2,1,N
94029,2014,1,27,13.8,1,N
94029,2014,1,28,16.2,1,N
94029,2014,1,29,14.2,1,N
94029,2014,1,30,13.2,1,N
94029,2014,1,31,16.4,1,N
94029,2014,2,1,14.7,1,N
94029,2014,2,2,15,1,N
94029,2014,2,3,18.9,1,N
94029,2014,2,4,9.9,1,N
94029,2014,2,5,8.8,1,N
94029,2014,2,6,10.8,1,N
94029,2014,2,7,14.1,1,N
94029,2014,2,8,14.2,1,N
94029,2014,2,9,17.7,1,N
94029,2014,2,10,11.8,1,N
94029,2014,2,11,13.6,1,N
94029,2014,2,12,14.8,1,N
94029,2014,2,13,15.1,1,N
94029,2014,2,14,15.3,1,N
94029,2014,2,15,14.4,1,N
94029,2014,2,16,13.5,1,N
94029,2014,2,17,10.5,1,N
94029,2014,2,18,12.1,1,N
94029,2014,2,19,13.5,1,N
94029,2014,2,20,14,1,N
94029,2014,2,21,13.5,1,N
94029,2014,2,22,11.5,1,N
94029,2014,2,23,8.6,1,N
94029,2014,2,24,13.1,1,N
94029,2014,2,25,12.8,1,N
94029,2014,2,26,12.7,1,N
94029,2014,2,27,10.5,1,N
94029,2014,2,28,8.6,1,N
94029,2014,3,1,10.7,1,N
94029,2014,3,2,12.6,1,N
94029,2014,3,3,12.5,1,N
94029,2014,3,4,13.9,1,N
94029,2014,3,5,17.1,1,N
94029,2014,3,6,8.8,1,N
94029,2014,3,7,12.1,1,N
94029,2014,3,8,11.7,1,N
94029,2014,3,9,14.1,1,N
94029,2014,3,10,17.1,1,N
94029,2014,3,11,16.1,1,N
94029,2014,3,12,12.4,1,N
94029,2014,3,13,11.9,1,N
94029,2014,3,14,13.7,1,N
94029,2014,3,15,15.4,1,N
94029,2014,3,16,13,1,N
94029,2014,3,17,10.7,1,N
94029,2014,3,18,11,1,N
94029,2014,3,19,12.8,1,N
94029,2014,3,20,10.4,1,N
94029,2014,3,21,13,1,N
94029,2014,3,22,9.6,1,N
94029,2014,3,23,8.6,1,N
94029,2014,3,24,8.6,1,N
94029,2014,3,25,12.7,1,N
94029,2014,3,26,14.2,1,N
94029,2014,3,27,12,1,N
94029,2014,3,28,14.1,1,N
94029,2014,3,29,13.2,1,N
94029,2014,3,30,13.5,1,N
94029,2014,3,31,13.5,1,N
94029,2014,4,1,14.1,1,N
94029,2014,4,2,18.1,1,N
94029,2014,4,3,11.2,1,N
94029,2014,4,4,8.4,1,N
94029,2014,4,5,9.1,1,N
94029,2014,4,6,10.4,1,N
94029,2014,4,7,9.9,1,N
94029,2014,4,8,13.3,1,N
94029,2014,4,9,12.7,1,N
94029,2014,4,10,14.1,1,N
94029,2014,4,11,12.3,1,N
94029,2014,4,12,11.4,1,N
94029,2014,4,13,7.8,1,N
94029,2014,4,14,9.9,1,N
94029,2014,4,15,11.4,1,N
94029,2014,4,16,7.9,1,N
94029,2014,4,17,8.9,1,N
94029,2014,4,18,9.3,1,N
94029,2014,4,19,8.8,1,N
94029,2014,4,20,8.3,1,N
94029,2014,4,21,5,1,N
94029,2014,4,22,7.6,1,N
94029,2014,4,23,8,1,N
94029,2014,4,24,9.3,1,N
94029,2014,4,25,6.9,1,N
94029,2014,4,26,9.9,1,N
94029,2014,4,27,5.5,1,N
94029,2014,4,28,4.8,1,N
94029,2014,4,29,7.3,1,N
94029,2014,4,30,8.2,1,N
94029,2014,5,1,4.2,1,N
94029,2014,5,2,7.6,1,N
94029,2014,5,3,9.3,1,N
94029,2014,5,4,9.1,1,N
94029,2014,5,5,6.1,1,N
94029,2014,5,6,8.3,1,N
94029,2014,5,7,8.3,1,N
94029,2014,5,8,4.2,1,N
94029,2014,5,9,2.4,1,N
94029,2014,5,10,4.1,1,N
94029,2014,5,11,9,1,N
94029,2014,5,12,4.9,1,N
94029,2014,5,13,6.1,1,N
94029,2014,5,14,7.5,1,N
94029,2014,5,15,11.5,1,N
94029,2014,5,16,14.9,1,N
94029,2014,5,17,10.5,1,N
94029,2014,5,18,9.8,1,N
94029,2014,5,19,12.5,1,N
94029,2014,5,20,9.9,1,N
94029,2014,5,21,5.6,1,N
94029,2014,5,22,6.8,1,N
94029,2014,5,23,9.9,1,N
94029,2014,5,24,8.3,1,N
94029,2014,5,25,5.3,1,N
94029,2014,5,26,8.4,1,N
94029,2014,5,27,9.4,1,N
94029,2014,5,28,10.7,1,N
94029,2014,5,29,6.2,1,N
94029,2014,5,30,3.6,1,N
94029,2014,5,31,2.8,1,N
94029,2014,6,1,3.4,1,N
94029,2014,6,2,7.4,1,N
94029,2014,6,3,8.3,1,N
94029,2014,6,4,9.6,1,N
94029,2014,6,5,6.3,1,N
94029,2014,6,6,4.4,1,N
94029,2014,6,7,6.6,1,N
94029,2014,6,8,8.1,1,N
94029,2014,6,9,1.2,1,N
94029,2014,6,10,1.3,1,N
94029,2014,6,11,2.5,1,N
94029,2014,6,12,5.7,1,N
94029,2014,6,13,5.8,1,N
94029,2014,6,14,8,1,N
94029,2014,6,15,7.4,1,N
94029,2014,6,16,5.1,1,N
94029,2014,6,17,6.7,1,N
94029,2014,6,18,8.7,1,N
94029,2014,6,19,8.8,1,N
94029,2014,6,20,8,1,N
94029,2014,6,21,6.2,1,N
94029,2014,6,22,6,1,N
94029,2014,6,23,8.8,1,N
94029,2014,6,24,6.8,1,N
94029,2014,6,25,8.2,1,N
94029,2014,6,26,7.3,1,N
94029,2014,6,27,6.9,1,N
94029,2014,6,28,9,1,N
94029,2014,6,29,4.9,1,N
94029,2014,6,30,4.7,1,N
94029,2014,7,1,7.4,1,N
94029,2014,7,2,6.3,1,N
94029,2014,7,3,10.9,1,N
94029,2014,7,4,7.1,1,N
94029,2014,7,5,7.8,1,N
94029,2014,7,6,9.7,1,N
94029,2014,7,7,8.3,1,N
94029,2014,7,8,8.4,1,N
94029,2014,7,9,7.1,1,N
94029,2014,7,10,5,1,N
94029,2014,7,11,,,
94029,2014,7,12,5,1,N
