Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
14015,2014,4,16,24.1,1,N
14015,2014,4,17,24.3,1,N
14015,2014,4,18,23.4,1,N
14015,2014,4,19,23.6,1,N
14015,2014,4,20,23.1,1,N
14015,2014,4,21,24.2,1,N
14015,2014,4,22,24.4,1,N
14015,2014,4,23,24.2,1,N
14015,2014,4,24,25.5,1,N
14015,2014,4,25,26.6,1,N
14015,2014,4,26,26.1,1,N
14015,2014,4,27,25.5,1,N
14015,2014,4,28,24.6,1,N
14015,2014,4,29,25.1,1,N
14015,2014,4,30,25.5,1,N
14015,2014,5,1,24.9,1,N
14015,2014,5,2,24.7,1,N
14015,2014,5,3,25.2,1,N
14015,2014,5,4,24.3,1,N
14015,2014,5,5,23.2,1,N
14015,2014,5,6,22.3,1,N
14015,2014,5,7,19.8,1,N
14015,2014,5,8,22.8,1,N
14015,2014,5,9,22,1,N
14015,2014,5,10,21.4,1,N
14015,2014,5,11,22.3,1,N
14015,2014,5,12,23.9,1,N
14015,2014,5,13,23.8,1,N
14015,2014,5,14,23.8,1,N
14015,2014,5,15,23.3,1,N
14015,2014,5,16,23.7,1,N
14015,2014,5,17,24.2,1,N
14015,2014,5,18,24.7,1,N
14015,2014,5,19,23.8,1,N
14015,2014,5,20,24.1,1,N
14015,2014,5,21,22.9,1,N
14015,2014,5,22,23.9,1,N
14015,2014,5,23,23.7,1,N
14015,2014,5,24,22.8,1,N
14015,2014,5,25,21.9,1,N
14015,2014,5,26,23.7,1,N
14015,2014,5,27,23.9,1,N
14015,2014,5,28,22.9,1,N
14015,2014,5,29,22.4,1,N
14015,2014,5,30,24.1,1,N
14015,2014,5,31,23.1,1,N
14015,2014,6,1,23.6,1,N
14015,2014,6,2,23.6,1,N
14015,2014,6,3,23.6,1,N
14015,2014,6,4,23.3,1,N
14015,2014,6,5,23.4,1,N
14015,2014,6,6,22.8,1,N
14015,2014,6,7,24.8,1,N
14015,2014,6,8,22.4,1,N
14015,2014,6,9,19,1,N
14015,2014,6,10,18.1,1,N
14015,2014,6,11,17.8,1,N
14015,2014,6,12,16.1,1,N
14015,2014,6,13,18.6,1,N
14015,2014,6,14,20,1,N
14015,2014,6,15,21,1,N
14015,2014,6,16,17.2,1,N
14015,2014,6,17,16,1,N
14015,2014,6,18,19.4,1,N
14015,2014,6,19,20.9,1,N
14015,2014,6,20,24.3,1,N
14015,2014,6,21,22.4,1,N
14015,2014,6,22,21,1,N
14015,2014,6,23,19.7,1,N
14015,2014,6,24,15,1,N
14015,2014,6,25,16,1,N
14015,2014,6,26,17.1,1,N
14015,2014,6,27,18.6,1,N
14015,2014,6,28,17.6,1,N
14015,2014,6,29,18.2,1,N
14015,2014,6,30,17.8,1,N
14015,2014,7,1,15.4,1,N
14015,2014,7,2,17.6,1,N
14015,2014,7,3,17.4,1,N
14015,2014,7,4,18.3,1,N
14015,2014,7,5,19.2,1,N
14015,2014,7,6,18.6,1,N
14015,2014,7,7,17.6,1,N
14015,2014,7,8,16.5,1,N
14015,2014,7,9,17.5,1,N
