Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Sunny
86282,2014,4,2,4.2,FALSE
86282,2014,4,3,3.8,FALSE
86282,2014,4,4,5.8,FALSE
86282,2014,4,5,10.7,FALSE
86282,2014,4,6,14.3,FALSE
86282,2014,4,7,11.3,FALSE
86282,2014,4,8,3.5,FALSE
86282,2014,4,9,3.6,FALSE
86282,2014,4,10,3.3,FALSE
86282,2014,4,11,2.9,FALSE
86282,2014,4,12,10.5,FALSE
86282,2014,4,13,13.1,FALSE
86282,2014,4,14,13.9,FALSE
86282,2014,4,15,13.6,FALSE
86282,2014,4,16,13,FALSE
86282,2014,4,17,14.6,FALSE
86282,2014,4,18,5.7,FALSE
86282,2014,4,19,7.5,FALSE
86282,2014,4,20,8,FALSE
86282,2014,4,21,10.2,FALSE
86282,2014,4,22,3,FALSE
86282,2014,4,23,12.5,FALSE
86282,2014,4,24,12.7,FALSE
86282,2014,4,25,14.1,FALSE
86282,2014,4,26,6.6,FALSE
86282,2014,4,27,13.2,FALSE
86282,2014,4,28,9.4,FALSE
86282,2014,4,29,2.6,FALSE
86282,2014,4,30,9.2,FALSE
86282,2014,5,1,9.6,FALSE
86282,2014,5,2,5.3,FALSE
86282,2014,5,3,8.3,FALSE
86282,2014,5,4,6.6,FALSE
86282,2014,5,5,6.7,FALSE
86282,2014,5,6,7.2,FALSE
86282,2014,5,7,9.1,FALSE
86282,2014,5,8,11.9,FALSE
86282,2014,5,9,6.5,FALSE
86282,2014,5,10,3.8,FALSE
86282,2014,5,11,9.2,FALSE
86282,2014,5,12,11.1,FALSE
86282,2014,5,13,9.8,FALSE
86282,2014,5,14,10.2,FALSE
86282,2014,5,15,10.3,FALSE
86282,2014,5,16,8.8,FALSE
86282,2014,5,17,4.3,FALSE
86282,2014,5,18,6.5,FALSE
86282,2014,5,19,8.7,FALSE
86282,2014,5,20,4.7,FALSE
86282,2014,5,21,9.4,FALSE
86282,2014,5,22,6.6,FALSE
86282,2014,5,23,4.9,FALSE
86282,2014,5,24,7.9,FALSE
86282,2014,5,25,8.2,FALSE
86282,2014,5,26,4.2,FALSE
86282,2014,5,27,3.6,FALSE
86282,2014,5,28,5.4,FALSE
86282,2014,5,29,5.1,FALSE
86282,2014,5,30,9,FALSE
86282,2014,5,31,5.8,FALSE
86282,2014,6,1,3.2,FALSE
86282,2014,6,2,4.8,FALSE
86282,2014,6,3,5.2,FALSE
86282,2014,6,4,7,FALSE
86282,2014,6,5,7.1,FALSE
86282,2014,6,6,6.2,FALSE
86282,2014,6,7,5.2,FALSE
86282,2014,6,8,7,FALSE
86282,2014,6,9,8.6,FALSE
86282,2014,6,10,8.4,FALSE
86282,2014,6,11,6.6,FALSE
86282,2014,6,12,3.9,FALSE
86282,2014,6,13,7.8,FALSE
86282,2014,6,14,3.7,FALSE
